id,upstream_path,source_kind,surface,owner_crate,milestone,priority,parity_mode,comparator_type,status,future_bucket,defer_reason,acceptance_check
cpp-stim-library-smoke,src/stim.test.cc,cxx-test,library-smoke,stab-core,M0,P0,adapted,direct-rust,planned,,,M0 oracle smoke plus later gate metadata rows
cpp-main-namespaced-smoke,src/stim/main_namespaced.test.cc,cxx-test,cli-entry,stab-cli,M0,P1,adapted,oracle,planned,,,M0 help smoke and CLI entry health
doc-circuit-data-references,doc/circuit_data_references.md,doc,targets,stab-core,M4,P1,structural,direct-rust,planned,,,M4 circuit target reference acceptance
doc-dem-format,doc/file_format_dem_detector_error_model.md,doc,dem-format,stab-core,M10,P1,structural,direct-rust,planned,,,M10 DEM file format acceptance
doc-stim-format,doc/file_format_stim_circuit.md,doc,stim-format,stab-core,M4,P1,structural,direct-rust,planned,,,M4 stim circuit file format acceptance
doc-gates,doc/gates.md,doc,gate-table,stab-core,M4,P1,structural,direct-rust,planned,,,M4 gate reference acceptance
doc-result-formats,doc/result_formats.md,doc,result-format,stab-core,M8,P1,exact-output,direct-rust,planned,,,M8 result format byte contract acceptance
doc-cli-usage,doc/usage_command_line.md,doc,cli-entry,stab-cli,M7,P1,structural,oracle,planned,,,M7 CLI command reference acceptance
cpp-included-twice,src/stim_included_twice.test.cc,cxx-test,build-semantics,none,Future,Skip,skipped,skipped,skipped,,,Cargo crate inclusion semantics replace this C++ check
cpp-circuit-model,src/stim/circuit/circuit.test.cc,cxx-test,stim-format,stab-core,M4,P0,structural,oracle,planned,,,M4 parser model and canonical printing tests
cpp-circuit-instruction,src/stim/circuit/circuit_instruction.test.cc,cxx-test,stim-format,stab-core,M4,P0,structural,oracle,planned,,,M4 instruction argument and target validation
cpp-gate-decomposition,src/stim/circuit/gate_decomposition.test.cc,cxx-test,stim-format,stab-core,M4,P0,structural,oracle,planned,,,M4 decomposition fixtures needed by later simulators
cpp-gate-target,src/stim/circuit/gate_target.test.cc,cxx-test,targets,stab-core,M4,P0,structural,oracle,planned,,,M4 typed target parsing and validation
cpp-command-convert,src/stim/cmd/command_convert.test.cc,cxx-test,command-convert,stab-cli,M4,P1,exact-output,oracle,planned,,,M4 convert parse and canonical print oracle cases
cpp-command-gen,src/stim/cmd/command_gen.test.cc,cxx-test,command-gen,stab-cli,M7,P1,exact-output,oracle,planned,,,M7 generated circuit golden CLI cases
cpp-command-sample,src/stim/cmd/command_sample.test.cc,cxx-test,command-sample,stab-cli,M8,P1,exact-output-and-statistical,oracle,planned,,,M8 deterministic sample exact cases and noisy statistical cases
cpp-command-detect,src/stim/cmd/command_detect.test.cc,cxx-test,command-detect,stab-cli,M9,P1,exact-output,oracle,planned,,,M9 detection CLI exact cases
cpp-command-m2d,src/stim/cmd/command_m2d.test.cc,cxx-test,command-m2d,stab-cli,M9,P1,exact-output,oracle,planned,,,M9 measurement to detection CLI exact cases
cpp-command-analyze-errors,src/stim/cmd/command_analyze_errors.test.cc,cxx-test,command-analyze-errors,stab-cli,M10,P1,structural,oracle,planned,,,M10 analyzer CLI exact and structural DEM cases
cpp-command-sample-dem,src/stim/cmd/command_sample_dem.test.cc,cxx-test,command-sample-dem,stab-cli,M11,P1,exact-output-and-statistical,oracle,planned,,,M11 deterministic and noisy DEM sampling cases
cpp-command-diagram,src/stim/cmd/command_diagram.test.cc,cxx-test,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,diagram command deferred beyond beta,Future diagram plan owns this command
cpp-command-explain-errors,src/stim/cmd/command_explain_errors.test.cc,cxx-test,explain-errors,none,Future,P3,deferred,deferred,deferred,explain_errors,explain_errors command deferred beyond beta,Future explain_errors plan owns this command
cpp-dem-instruction,src/stim/dem/dem_instruction.test.cc,cxx-test,dem-format,stab-core,M10,P0,structural,oracle,planned,,,M10 DEM instruction parser and printer tests
cpp-detector-error-model,src/stim/dem/detector_error_model.test.cc,cxx-test,dem-format,stab-core,M10,P0,structural,oracle,planned,,,M10 DEM model repeat coordinate and probability tests
cpp-diagram-ascii,src/stim/diagram/ascii_diagram.test.cc,cxx-test,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,diagram rendering deferred beyond beta,Future diagram snapshot plan
cpp-diagram-base64,src/stim/diagram/base64.test.cc,cxx-test,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,diagram utility deferred beyond beta,Future diagram snapshot plan
cpp-diagram-coord,src/stim/diagram/coord.test.cc,cxx-test,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,diagram coordinates deferred beyond beta,Future diagram snapshot plan
cpp-diagram-detector-slice,src/stim/diagram/detector_slice/detector_slice_set.test.cc,cxx-test,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,detector slice rendering deferred beyond beta,Future diagram snapshot plan
cpp-diagram-match-graph-3d,src/stim/diagram/graph/match_graph_3d_drawer.test.cc,cxx-test,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,match graph rendering deferred beyond beta,Future diagram snapshot plan
cpp-diagram-match-graph-svg,src/stim/diagram/graph/match_graph_svg_drawer.test.cc,cxx-test,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,match graph rendering deferred beyond beta,Future diagram snapshot plan
cpp-diagram-json,src/stim/diagram/json_obj.test.cc,cxx-test,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,diagram JSON utility deferred beyond beta,Future diagram snapshot plan
cpp-diagram-timeline-3d,src/stim/diagram/timeline/timeline_3d_drawer.test.cc,cxx-test,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,timeline rendering deferred beyond beta,Future diagram snapshot plan
cpp-diagram-timeline-ascii,src/stim/diagram/timeline/timeline_ascii_drawer.test.cc,cxx-test,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,timeline rendering deferred beyond beta,Future diagram snapshot plan
cpp-diagram-timeline-svg,src/stim/diagram/timeline/timeline_svg_drawer.test.cc,cxx-test,diagrams,none,Future,P3,deferred,deferred,deferred,diagrams,timeline rendering deferred beyond beta,Future diagram snapshot plan
cpp-gates,src/stim/gates/gates.test.cc,cxx-test,gate-table,stab-core,M4,P0,structural,direct-rust,planned,,,M4 gate table alias arity inverse and validation tests
cpp-gen-params,src/stim/gen/circuit_gen_params.test.cc,cxx-test,circuit-generation,stab-core,M7,P1,exact-output,oracle,planned,,,M7 generator parameter validation
cpp-gen-color-code,src/stim/gen/gen_color_code.test.cc,cxx-test,circuit-generation,stab-core,M7,P1,exact-output,oracle,planned,,,M7 color code generator golden cases
cpp-gen-rep-code,src/stim/gen/gen_rep_code.test.cc,cxx-test,circuit-generation,stab-core,M7,P1,exact-output,oracle,planned,,,M7 repetition code generator golden cases
cpp-gen-surface-code,src/stim/gen/gen_surface_code.test.cc,cxx-test,circuit-generation,stab-core,M7,P1,exact-output,oracle,planned,,,M7 surface code generator golden cases
cpp-measure-record,src/stim/io/measure_record.test.cc,cxx-test,result-format,stab-core,M8,P0,exact-output,direct-rust,planned,,,M8 measurement record format parsing and writing
cpp-measure-record-batch,src/stim/io/measure_record_batch.test.cc,cxx-test,result-format,stab-core,M8,P0,exact-output,direct-rust,planned,,,M8 batched result format behavior
cpp-measure-record-batch-writer,src/stim/io/measure_record_batch_writer.test.cc,cxx-test,result-format,stab-core,M8,P0,exact-output,direct-rust,planned,,,M8 batched writer byte layout
cpp-measure-record-reader,src/stim/io/measure_record_reader.test.cc,cxx-test,result-format,stab-core,M8,P0,exact-output,direct-rust,planned,,,M8 measurement reader text and bit packed behavior
cpp-measure-record-writer,src/stim/io/measure_record_writer.test.cc,cxx-test,result-format,stab-core,M8,P0,exact-output,direct-rust,planned,,,M8 measurement writer text and bit packed behavior
